SPVVVECTR1_timestamp,Target_RPM,Actual_RPM,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z, ,SPVVVECTR2_timestamp,Target_RPM,Actual_RPM,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z, ,SPVVVECTR3_timestamp,Target_RPM,Actual_RPM,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z, 
OFFLINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,"=""15:37:00.784""",600,602,1796.0,2964.0,8076.0,-6223.0,2662.0,4809.0, ,"=""15:37:00.784""",600,599,-1444.0,-27672.0,2260.0,6118.0,-1195.0,3458.0, 
OFFLINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,"=""15:37:00.895""",600,602,1796.0,2964.0,8076.0,-6223.0,2662.0,4809.0, ,"=""15:37:00.895""",600,599,-1444.0,-27672.0,2260.0,6118.0,-1195.0,3458.0, 
OFFLINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,"=""15:37:01.005""",600,602,1796.0,2964.0,8076.0,-6223.0,2662.0,4809.0, ,"=""15:37:01.005""",600,599,-1444.0,-27672.0,2260.0,6118.0,-1195.0,3458.0, 
OFFLINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,"=""15:37:01.113""",600,598,12616.0,-3520.0,16228.0,16525.0,5334.0,-3920.0, ,"=""15:37:01.113""",700,599,-1444.0,-27672.0,2260.0,6118.0,-1195.0,3458.0, 
OFFLINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,"=""15:37:01.223""",600,598,12616.0,-3520.0,16228.0,16525.0,5334.0,-3920.0, ,"=""15:37:01.223""",700,599,-1444.0,-27672.0,2260.0,6118.0,-1195.0,3458.0, 
OFFLINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,"=""15:37:01.331""",600,598,12616.0,-3520.0,16228.0,16525.0,5334.0,-3920.0, ,"=""15:37:01.331""",700,599,-1444.0,-27672.0,2260.0,6118.0,-1195.0,3458.0, 
OFFLINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,"=""15:37:01.439""",600,598,12616.0,-3520.0,16228.0,16525.0,5334.0,-3920.0, ,"=""15:37:01.439""",700,607,-3392.0,-3364.0,-14396.0,-23282.0,-3355.0,-2294.0, 
OFFLINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,"=""15:37:01.549""",600,598,12616.0,-3520.0,16228.0,16525.0,5334.0,-3920.0, ,"=""15:37:01.549""",700,607,-3392.0,-3364.0,-14396.0,-23282.0,-3355.0,-2294.0, 
OFFLINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,"=""15:37:01.658""",600,598,12616.0,-3520.0,16228.0,16525.0,5334.0,-3920.0, ,"=""15:37:01.658""",700,607,-3392.0,-3364.0,-14396.0,-23282.0,-3355.0,-2294.0, 
OFFLINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,"=""15:37:01.766""",600,598,12616.0,-3520.0,16228.0,16525.0,5334.0,-3920.0, ,"=""15:37:01.766""",700,607,-3392.0,-3364.0,-14396.0,-23282.0,-3355.0,-2294.0, 
OFFLINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,"=""15:37:01.874""",600,598,12616.0,-3520.0,16228.0,16525.0,5334.0,-3920.0, ,"=""15:37:01.874""",700,607,-3392.0,-3364.0,-14396.0,-23282.0,-3355.0,-2294.0, 
OFFLINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,"=""15:37:01.982""",700,654,2848.0,-9184.0,484.0,-1249.0,7706.0,3063.0, ,"=""15:37:01.982""",700,607,-3392.0,-3364.0,-14396.0,-23282.0,-3355.0,-2294.0, 
OFFLINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,"=""15:37:02.093""",700,654,2848.0,-9184.0,484.0,-1249.0,7706.0,3063.0, ,"=""15:37:02.093""",700,607,-3392.0,-3364.0,-14396.0,-23282.0,-3355.0,-2294.0, 
OFFLINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,"=""15:37:02.203""",700,654,2848.0,-9184.0,484.0,-1249.0,7706.0,3063.0, ,"=""15:37:02.203""",700,669,-1240.0,-12596.0,3188.0,19638.0,3805.0,2732.0, 
OFFLINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,"=""15:37:02.311""",700,654,2848.0,-9184.0,484.0,-1249.0,7706.0,3063.0, ,"=""15:37:02.311""",700,669,-1240.0,-12596.0,3188.0,19638.0,3805.0,2732.0, 
OFFLINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,"=""15:37:02.418""",700,654,2848.0,-9184.0,484.0,-1249.0,7706.0,3063.0, ,"=""15:37:02.418""",700,669,-1240.0,-12596.0,3188.0,19638.0,3805.0,2732.0, 
OFFLINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,"=""15:37:02.528""",700,654,2848.0,-9184.0,484.0,-1249.0,7706.0,3063.0, ,"=""15:37:02.528""",700,669,-1240.0,-12596.0,3188.0,19638.0,3805.0,2732.0, 
OFFLINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,"=""15:37:02.636""",700,654,2848.0,-9184.0,484.0,-1249.0,7706.0,3063.0, ,"=""15:37:02.636""",700,669,-1240.0,-12596.0,3188.0,19638.0,3805.0,2732.0, 
OFFLINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,"=""15:37:02.745""",700,676,17060.0,-24716.0,32767.0,32767.0,-2316.0,-4046.0, ,"=""15:37:02.745""",700,669,-1240.0,-12596.0,3188.0,19638.0,3805.0,2732.0, 
OFFLINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,"=""15:37:02.853""",700,676,17060.0,-24716.0,32767.0,32767.0,-2316.0,-4046.0, ,"=""15:37:02.853""",700,669,-1240.0,-12596.0,3188.0,19638.0,3805.0,2732.0, 
OFFLINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,"=""15:37:02.962""",700,676,17060.0,-24716.0,32767.0,32767.0,-2316.0,-4046.0, ,"=""15:37:02.962""",700,669,-1240.0,-12596.0,3188.0,19638.0,3805.0,2732.0, 
OFFLINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,"=""15:37:03.070""",700,676,17060.0,-24716.0,32767.0,32767.0,-2316.0,-4046.0, ,"=""15:37:03.070""",700,689,2836.0,-14652.0,-10020.0,29488.0,7882.0,-7634.0, 
OFFLINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,"=""15:37:03.179""",700,676,17060.0,-24716.0,32767.0,32767.0,-2316.0,-4046.0, ,"=""15:37:03.179""",700,689,2836.0,-14652.0,-10020.0,29488.0,7882.0,-7634.0, 
OFFLINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,"=""15:37:03.287""",700,676,17060.0,-24716.0,32767.0,32767.0,-2316.0,-4046.0, ,"=""15:37:03.287""",700,689,2836.0,-14652.0,-10020.0,29488.0,7882.0,-7634.0, 
OFFLINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,"=""15:37:03.396""",700,676,17060.0,-24716.0,32767.0,32767.0,-2316.0,-4046.0, ,"=""15:37:03.396""",700,689,2836.0,-14652.0,-10020.0,29488.0,7882.0,-7634.0, 
OFFLINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,"=""15:37:03.502""",700,676,17060.0,-24716.0,32767.0,32767.0,-2316.0,-4046.0, ,"=""15:37:03.502""",700,689,2836.0,-14652.0,-10020.0,29488.0,7882.0,-7634.0, 
OFFLINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,"=""15:37:03.614""",700,674,20536.0,-6868.0,15280.0,-32768.0,10590.0,3918.0, ,"=""15:37:03.614""",700,689,2836.0,-14652.0,-10020.0,29488.0,7882.0,-7634.0, 
OFFLINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,"=""15:37:03.722""",700,674,20536.0,-6868.0,15280.0,-32768.0,10590.0,3918.0, ,"=""15:37:03.722""",700,689,2836.0,-14652.0,-10020.0,29488.0,7882.0,-7634.0, 
OFFLINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,"=""15:37:03.831""",700,674,20536.0,-6868.0,15280.0,-32768.0,10590.0,3918.0, ,"=""15:37:03.831""",700,690,192.0,12064.0,5892.0,2158.0,4576.0,2825.0, 
OFFLINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,"=""15:37:03.940""",700,674,20536.0,-6868.0,15280.0,-32768.0,10590.0,3918.0, ,"=""15:37:03.940""",700,690,192.0,12064.0,5892.0,2158.0,4576.0,2825.0, 
OFFLINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,"=""15:37:04.050""",700,674,20536.0,-6868.0,15280.0,-32768.0,10590.0,3918.0, ,"=""15:37:04.050""",700,690,192.0,12064.0,5892.0,2158.0,4576.0,2825.0, 
OFFLINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,"=""15:37:04.161""",700,674,20536.0,-6868.0,15280.0,-32768.0,10590.0,3918.0, ,"=""15:37:04.161""",700,690,192.0,12064.0,5892.0,2158.0,4576.0,2825.0, 
OFFLINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,"=""15:37:04.272""",700,674,20536.0,-6868.0,15280.0,-32768.0,10590.0,3918.0, ,"=""15:37:04.272""",700,690,192.0,12064.0,5892.0,2158.0,4576.0,2825.0, 
OFFLINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,"=""15:37:04.381""",700,680,-4828.0,-2016.0,-31920.0,-32768.0,6210.0,2186.0, ,"=""15:37:04.381""",700,690,192.0,12064.0,5892.0,2158.0,4576.0,2825.0, 
OFFLINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,"=""15:37:04.491""",700,680,-4828.0,-2016.0,-31920.0,-32768.0,6210.0,2186.0, ,"=""15:37:04.491""",700,690,192.0,12064.0,5892.0,2158.0,4576.0,2825.0, 
OFFLINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,"=""15:37:04.600""",700,680,-4828.0,-2016.0,-31920.0,-32768.0,6210.0,2186.0, ,"=""15:37:04.600""",700,696,4388.0,-1532.0,17768.0,-5959.0,-1178.0,10957.0, 
OFFLINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,"=""15:37:04.708""",700,680,-4828.0,-2016.0,-31920.0,-32768.0,6210.0,2186.0, ,"=""15:37:04.708""",700,696,4388.0,-1532.0,17768.0,-5959.0,-1178.0,10957.0, 
